CustID,usageCount,Tier1Cust,premierlastActivated,premierServiceEligible
eipk200001,602,Yes,04-2019,Yes
eipk200002,935,Yes,04-2018,Yes
eipk200003,848,Yes,01-2021,Yes
eipk200004,770,Yes,09-2020,Yes
eipk200005,606,Yes,07-2020,Yes
eipk200006,571,Yes,07-2019,Yes
eipk200007,688,Yes,02-2019,Yes
eipk200008,520,Yes,02-2024,Yes
eipk200009,602,Yes,12-2018,Yes
eipk200010,621,Yes,09-2022,Yes
eipk200011,966,Yes,05-2018,Yes
eipk200012,714,Yes,05-2018,Yes
eipk200013,830,Yes,01-2019,Yes
eipk200014,958,Yes,06-2020,Yes
eipk200015,587,Yes,08-2020,Yes
eipk200016,872,Yes,09-2023,Yes
eipk200017,599,Yes,04-2018,Yes
eipk200018,859,Yes,04-2024,Yes
eipk200019,651,Yes,03-2020,Yes
eipk200020,630,Yes,02-2024,Yes
eipk200021,649,Yes,09-2022,Yes
eipk200022,808,Yes,06-2020,Yes
eipk200023,757,Yes,01-2023,Yes
eipk200024,843,Yes,02-2021,Yes
eipk200025,991,Yes,01-2018,Yes
eipk200026,913,Yes,10-2019,Yes
eipk200027,793,Yes,09-2022,Yes
eipk200028,885,Yes,10-2021,Yes
eipk200029,691,Yes,02-2021,Yes
eipk200030,943,Yes,09-2019,Yes
eipk200031,776,Yes,05-2020,Yes
eipk200032,660,Yes,10-2021,Yes
eipk200033,959,Yes,02-2019,Yes
eipk200034,813,Yes,01-2019,Yes
eipk200035,521,Yes,04-2022,Yes
eipk200036,752,Yes,02-2019,Yes
eipk200037,735,Yes,01-2022,Yes
eipk200038,844,Yes,11-2021,Yes
eipk200039,548,Yes,12-2020,Yes
eipk200040,974,Yes,06-2018,Yes
eipk200041,558,Yes,02-2023,Yes
eipk200042,669,Yes,01-2024,Yes
eipk200043,975,Yes,05-2019,Yes
eipk200044,687,Yes,03-2022,Yes
eipk200045,963,Yes,11-2018,Yes
eipk200046,770,Yes,03-2024,Yes
eipk200047,689,Yes,04-2021,Yes
eipk200048,945,Yes,01-2022,Yes
eipk200049,674,Yes,02-2020,Yes
eipk200050,945,Yes,10-2018,Yes
eipk200051,550,Yes,07-2018,Yes
eipk200052,863,Yes,07-2020,Yes
eipk200053,554,Yes,03-2021,Yes
eipk200054,743,Yes,11-2018,Yes
eipk200055,819,Yes,08-2020,Yes
eipk200056,630,Yes,02-2019,Yes
eipk200057,984,Yes,04-2022,Yes
eipk200058,806,Yes,02-2021,Yes
eipk200059,634,Yes,02-2023,Yes
eipk200060,520,Yes,02-2022,Yes
eipk200061,828,Yes,10-2019,Yes
eipk200062,666,Yes,02-2022,Yes
eipk200063,773,Yes,12-2021,Yes
eipk200064,887,Yes,05-2020,Yes
eipk200065,588,Yes,12-2020,Yes
eipk200066,815,Yes,10-2018,Yes
eipk200067,513,Yes,12-2019,Yes
eipk200068,741,Yes,12-2023,Yes
eipk200069,764,Yes,09-2020,Yes
eipk200070,845,Yes,11-2019,Yes
eipk200071,552,Yes,03-2023,Yes
